,0,1,2,3
Masculinity T171,0.0,1.0,0.0,0.0
Masculinity T172,0.088,0.68,0.232,-0.5599
Masculinity T173,0.064,0.792,0.143,-0.4767
Masculinity T174,0.176,0.824,0.0,0.5994
Masculinity T175,0.134,0.699,0.167,-0.1531
Masculinity T176,0.419,0.581,0.0,0.9186
Masculinity T177,0.0,1.0,0.0,0.0
Masculinity T178,0.071,0.929,0.0,0.0772
Masculinity T179,0.0,0.562,0.438,-0.8788
Masculinity T180,0.0,0.0,0.0,0.0
Masculinity T181,0.0,0.795,0.205,-0.4754
Masculinity T182,0.0,1.0,0.0,0.0
Masculinity T183,0.0,1.0,0.0,0.0
Masculinity T184,0.225,0.775,0.0,0.4927
Masculinity T185,0.194,0.806,0.0,0.5574
Masculinity T186,0.147,0.714,0.139,0.0516
Masculinity T187,0.385,0.615,0.0,0.3612
Masculinity T188,0.104,0.743,0.153,-0.25
Masculinity T189,0.0,1.0,0.0,0.0
Masculinity T190,0.277,0.62,0.103,0.4939
Masculinity T191,0.158,0.842,0.0,0.4588
Masculinity T192,0.0,1.0,0.0,0.0
Masculinity T193,0.0,1.0,0.0,0.0
Masculinity T194,0.088,0.841,0.071,0.1007
Masculinity T195,0.0,1.0,0.0,0.0
Masculinity T196,0.174,0.596,0.23,-0.0772
Masculinity T197,0.124,0.574,0.302,-0.7845
Masculinity T198,0.0,1.0,0.0,0.0
Masculinity T199,0.0,0.549,0.451,-0.6249
Masculinity T200,0.125,0.875,0.0,0.25
Masculinity T201,0.0,0.606,0.394,-0.3818
Masculinity T202,0.0,1.0,0.0,0.0
Masculinity T203,0.172,0.828,0.0,0.4019
Masculinity T204,0.0,1.0,0.0,0.0
Masculinity T205,0.0,0.507,0.493,-0.9274
Masculinity T206,0.0,0.808,0.192,-0.4215
Masculinity T207,0.178,0.579,0.244,-0.3818
Masculinity T208,0.183,0.576,0.241,-0.3818
Masculinity T209,0.0,1.0,0.0,0.0
Masculinity T210,0.0,1.0,0.0,0.0
Masculinity T211,0.0,0.871,0.129,-0.4767
Masculinity T212,0.296,0.704,0.0,0.7096
Masculinity T213,0.11,0.89,0.0,0.2732
Masculinity T214,0.078,0.819,0.104,-0.1613
Masculinity T215,0.0,0.848,0.152,-0.3612
Masculinity T216,0.0,1.0,0.0,0.0
Masculinity T217,0.145,0.676,0.179,-0.1779
Masculinity T218,0.298,0.591,0.111,0.7184
Masculinity T219,0.0,0.625,0.375,-0.8625
Masculinity T220,0.0,1.0,0.0,0.0
Masculinity T221,0.135,0.496,0.369,-0.765
Masculinity T222,0.0,1.0,0.0,0.0
Masculinity T223,0.103,0.897,0.0,0.3182
Masculinity T224,0.0,1.0,0.0,0.0
Masculinity T225,0.0,0.645,0.355,-0.5106
Masculinity T226,0.0,1.0,0.0,0.0
Masculinity T227,0.0,1.0,0.0,0.0
Masculinity T228,0.17,0.745,0.085,0.34
Masculinity T229,0.0,1.0,0.0,0.0
Masculinity T230,0.21,0.665,0.125,0.4224
Masculinity T231,0.328,0.672,0.0,0.8519
Masculinity T232,0.136,0.864,0.0,0.296
Masculinity T233,0.0,1.0,0.0,0.0
Masculinity T234,0.149,0.851,0.0,0.4215
Masculinity T235,0.196,0.804,0.0,0.658
Masculinity T236,0.104,0.896,0.0,0.2732
Masculinity T237,0.0,1.0,0.0,0.0
Masculinity T238,0.0,0.951,0.049,-0.0191
Masculinity T239,0.128,0.872,0.0,0.3612
Masculinity T240,0.0,0.889,0.111,-0.25
Masculinity T241,0.0,0.78,0.22,-0.4767
Masculinity T242,0.0,0.734,0.266,-0.7003
Masculinity T243,0.0,0.661,0.339,-0.7717
Masculinity T244,0.105,0.628,0.268,-0.5994
Masculinity T245,0.0,0.707,0.293,-0.7003
Masculinity T246,0.45,0.46,0.09,0.8333
Masculinity T247,0.0,0.78,0.22,-0.5423
Masculinity T248,0.0,0.655,0.345,-0.7003
Masculinity T249,0.0,1.0,0.0,0.0
