trial,Pos.,Neu.,Neg.,Summary
Diana Trujillo T83,0.0,1.0,0.0,0.0
Diana Trujillo T84,0.0,1.0,0.0,0.0
Diana Trujillo T85,0.0,1.0,0.0,0.0
Diana Trujillo T86,0.0,0.885,0.115,-0.296
Diana Trujillo T87,0.0,1.0,0.0,0.0
Diana Trujillo T88,0.0,1.0,0.0,0.0
Diana Trujillo T89,0.0,1.0,0.0,0.0
Diana Trujillo T90,0.0,1.0,0.0,0.0
Diana Trujillo T91,0.0,0.891,0.109,-0.296
Diana Trujillo T92,0.0,0.82,0.18,-0.296
Diana Trujillo T93,0.0,1.0,0.0,0.0
Diana Trujillo T94,0.0,1.0,0.0,0.0
Diana Trujillo T95,0.0,0.789,0.211,-0.4939
Diana Trujillo T96,0.13,0.87,0.0,0.34
Diana Trujillo T97,0.0,1.0,0.0,0.0
Diana Trujillo T98,0.286,0.714,0.0,0.4215
Diana Trujillo T99,0.0,1.0,0.0,0.0
Diana Trujillo T100,0.0,1.0,0.0,0.0
Diana Trujillo T101,0.0,1.0,0.0,0.0
Diana Trujillo T102,0.0,1.0,0.0,0.0
Diana Trujillo T103,0.0,1.0,0.0,0.0
Diana Trujillo T104,0.0,1.0,0.0,0.0
Diana Trujillo T105,0.0,1.0,0.0,0.0
Diana Trujillo T106,0.0,1.0,0.0,0.0
Diana Trujillo T107,0.0,1.0,0.0,0.0
Diana Trujillo T108,0.0,1.0,0.0,0.0
Diana Trujillo T109,0.0,0.855,0.145,-0.296
Diana Trujillo T110,0.0,1.0,0.0,0.0
Diana Trujillo T111,0.0,1.0,0.0,0.0
Diana Trujillo T112,0.194,0.806,0.0,0.34
Diana Trujillo T113,0.0,1.0,0.0,0.0
Diana Trujillo T114,0.118,0.882,0.0,0.34
Diana Trujillo T115,0.0,1.0,0.0,0.0
Diana Trujillo T116,0.0,1.0,0.0,0.0
Diana Trujillo T117,0.0,1.0,0.0,0.0
Diana Trujillo T118,0.0,1.0,0.0,0.0
Diana Trujillo T119,0.0,1.0,0.0,0.0
Diana Trujillo T120,0.0,1.0,0.0,0.0
Diana Trujillo T121,0.0,1.0,0.0,0.0
Diana Trujillo T122,0.0,1.0,0.0,0.0
Diana Trujillo T123,0.0,1.0,0.0,0.0
Diana Trujillo T124,0.0,1.0,0.0,0.0
Diana Trujillo T125,0.0,0.885,0.115,-0.296
Diana Trujillo T126,0.0,1.0,0.0,0.0
Diana Trujillo T127,0.0,1.0,0.0,0.0
Diana Trujillo T128,0.0,1.0,0.0,0.0
Diana Trujillo T129,0.0,1.0,0.0,0.0
Diana Trujillo T130,0.0,0.891,0.109,-0.296
Diana Trujillo T131,0.0,0.82,0.18,-0.296
