trial,Pos.,Neu.,Neg.,Summary
Neil deGrasse Tyson T6,0.471,0.529,0.0,0.836
Neil deGrasse Tyson T7,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T8,0.0,0.0,0.0,0.0
Neil deGrasse Tyson T9,0.0,0.826,0.174,-0.2263
Neil deGrasse Tyson T10,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T11,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T12,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T13,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T14,0.29,0.71,0.0,0.5673
Neil deGrasse Tyson T15,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T16,0.0,0.864,0.136,-0.296
Neil deGrasse Tyson T17,0.251,0.749,0.0,0.6908
Neil deGrasse Tyson T18,0.0,0.83,0.17,-0.6239
Neil deGrasse Tyson T19,0.171,0.829,0.0,0.4019
Neil deGrasse Tyson T20,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T21,0.0,0.855,0.145,-0.5267
Neil deGrasse Tyson T22,0.0,0.708,0.292,-0.7906
Neil deGrasse Tyson T23,0.366,0.494,0.14,0.7579
Neil deGrasse Tyson T24,0.0,0.664,0.336,-0.765
Neil deGrasse Tyson T25,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T26,0.0,0.707,0.293,-0.4404
Neil deGrasse Tyson T27,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T28,0.211,0.789,0.0,0.296
Neil deGrasse Tyson T29,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T30,0.129,0.762,0.11,0.1027
Neil deGrasse Tyson T31,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T32,0.146,0.734,0.121,0.1226
Neil deGrasse Tyson T33,0.149,0.851,0.0,0.4215
Neil deGrasse Tyson T34,0.31,0.69,0.0,0.5267
Neil deGrasse Tyson T35,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T36,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T37,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T38,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T39,0.237,0.763,0.0,0.4215
Neil deGrasse Tyson T40,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T41,0.09,0.806,0.104,-0.0772
Neil deGrasse Tyson T42,0.242,0.758,0.0,0.296
Neil deGrasse Tyson T43,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T44,0.453,0.547,0.0,0.7003
Neil deGrasse Tyson T45,0.254,0.604,0.142,0.6908
Neil deGrasse Tyson T46,0.234,0.435,0.332,-0.4215
Neil deGrasse Tyson T47,0.291,0.709,0.0,0.5719
Neil deGrasse Tyson T48,0.121,0.879,0.0,0.296
Neil deGrasse Tyson T49,0.291,0.709,0.0,0.802
Neil deGrasse Tyson T50,0.291,0.709,0.0,0.5719
Neil deGrasse Tyson T51,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T52,0.165,0.835,0.0,0.4168
Neil deGrasse Tyson T53,0.22,0.657,0.123,0.3321
Neil deGrasse Tyson T54,0.291,0.709,0.0,0.5719
Neil deGrasse Tyson T55,0.122,0.878,0.0,0.3898
Neil deGrasse Tyson T56,0.112,0.888,0.0,0.3898
Neil deGrasse Tyson T57,0.163,0.739,0.097,0.1779
Neil deGrasse Tyson T58,0.244,0.756,0.0,0.7017
Neil deGrasse Tyson T59,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T60,0.109,0.891,0.0,0.1513
Neil deGrasse Tyson T61,0.153,0.847,0.0,0.2023
Neil deGrasse Tyson T62,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T63,0.133,0.867,0.0,0.3182
Neil deGrasse Tyson T64,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T65,0.165,0.667,0.169,0.2263
Neil deGrasse Tyson T66,0.133,0.867,0.0,0.4728
Neil deGrasse Tyson T67,0.068,0.837,0.094,-0.1872
Neil deGrasse Tyson T68,0.0,0.872,0.128,-0.3612
Neil deGrasse Tyson T69,0.318,0.682,0.0,0.6369
Neil deGrasse Tyson T70,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T71,0.177,0.823,0.0,0.4215
Neil deGrasse Tyson T72,0.154,0.714,0.132,0.1027
Neil deGrasse Tyson T73,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T74,0.191,0.809,0.0,0.3818
Neil deGrasse Tyson T75,0.229,0.673,0.099,0.4404
Neil deGrasse Tyson T76,0.0,0.851,0.149,-0.6369
Neil deGrasse Tyson T77,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T78,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T79,0.07,0.749,0.181,-0.5423
Neil deGrasse Tyson T80,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T81,0.286,0.714,0.0,0.8402
Neil deGrasse Tyson T82,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T83,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T84,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T85,0.124,0.876,0.0,0.4549
Neil deGrasse Tyson T86,0.257,0.743,0.0,0.6696
Neil deGrasse Tyson T87,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T88,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T89,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T90,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T91,0.228,0.707,0.065,0.6124
Neil deGrasse Tyson T92,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T93,0.212,0.687,0.101,0.4404
Neil deGrasse Tyson T94,0.385,0.615,0.0,0.3612
Neil deGrasse Tyson T95,0.0,0.899,0.101,-0.2023
Neil deGrasse Tyson T96,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T97,0.296,0.56,0.143,0.702
Neil deGrasse Tyson T98,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T99,0.0,0.829,0.171,-0.4767
Neil deGrasse Tyson T100,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T101,0.162,0.838,0.0,0.4019
Neil deGrasse Tyson T102,0.145,0.694,0.162,-0.0772
Neil deGrasse Tyson T103,0.075,0.925,0.0,0.0772
Neil deGrasse Tyson T104,0.16,0.742,0.098,0.3919
Neil deGrasse Tyson T105,0.409,0.591,0.0,0.8858
Neil deGrasse Tyson T106,0.149,0.851,0.0,0.4215
Neil deGrasse Tyson T107,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T108,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T109,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T110,0.0,0.909,0.091,-0.0516
Neil deGrasse Tyson T111,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T112,0.143,0.696,0.161,-0.3506
Neil deGrasse Tyson T113,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T114,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T115,0.251,0.749,0.0,0.6908
Neil deGrasse Tyson T116,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T117,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T118,0.0,1.0,0.0,0.0
